folder_id,set,material,distance_cm,metal_m,wood_m,teflon_m
1354,single,teflon,30,,,
1311,single,wood,50,,,
1339,single,teflon,50,,,
1358,single,metal,50,,,
1317,single,wood,100,,,
1336,single,teflon,100,,,
1325,single,wood,150,,,
1332,single,teflon,150,,,
1401,single,metal,150,,,
1405,single,metal,200,,,
1746,multiple,,,1.5,1.0,0.5
1801,multiple,,,1.0,0.5,0.3
1809,multiple,,,0.5,1.0,0.3
1817,multiple,,,0.5,0.5,0.5
1827,two-targets,,,1.5,1.0,
1834,two-targets,,,1.0,1.5,
2240,two-targets,,,1.5,0.5,
2359,two-targets,,,0.5,1.5,
5,two-targets,,,1.5,1.5,
9,two-targets,,,1.0,1.0,
14,two-targets,,,0.5,0.5,
